city,latitude,longitude,pop_venue_ratio
Cape Coral,26.629820000000052,-81.95693999999997,2269.202846975089
Fort Myers,26.640840000000026,-81.86792999999994,2269.202846975089
Crestview,30.76183000000003,-86.57101999999998,2673.2261904761904
Fort Walton Beach,30.404240000000073,-86.61529999999999,2673.2261904761904
Destin,30.393290000000036,-86.49565999999999,2673.2261904761904
Deltona,28.93223000000006,-81.22334999999998,5129.94495412844
Daytona Beach,29.20357000000007,-81.03939999999994,5129.94495412844
Ormond Beach,29.28558000000004,-81.05554999999998,5129.94495412844
Gainesville,29.651950000000056,-82.32277999999997,1658.013698630137
Jacksonville,30.331470000000024,-81.65621999999996,2519.7684426229507
Lakeland,28.04419000000007,-81.94785999999993,3959.5069444444443
Winter Haven,28.022320000000036,-81.73294999999996,3959.5069444444443
Miami,25.77481000000006,-80.19772999999998,3514.658149171271
Fort Lauderdale,26.123880000000042,-80.14356999999995,3514.658149171271
West Palm Beach,26.71440000000007,-80.05328999999995,3514.658149171271
Naples,26.13934000000006,-81.79582999999997,1656.0721649484535
Immokalee,26.418580000000077,-81.41995999999995,1656.0721649484535
Marco Island,25.954090000000065,-81.72462999999993,1656.0721649484535
North Port,27.075140000000033,-82.20680999999996,2628.936567164179
Sarasota,27.33889000000005,-82.53886999999997,2628.936567164179
Bradenton,27.49550000000005,-82.57806999999997,2628.936567164179
Ocala,29.18775000000005,-82.14040999999997,3596.2023809523807
Orlando,28.538230000000055,-81.37738999999993,2746.8079470198677
Kissimmee,28.294460000000072,-81.40675999999996,2746.8079470198677
Sanford,28.81397000000004,-81.26804999999996,2746.8079470198677
Palm Bay,27.999900000000025,-80.67261999999994,3428.527397260274
Melbourne,28.079440000000034,-80.60755999999998,3428.527397260274
Titusville,28.608030000000042,-80.80769999999995,3428.527397260274
Panama City,30.15987000000007,-85.66032999999999,1408.6666666666667
Pensacola,30.420840000000055,-87.21722999999997,2993.8507462686566
Port St. Lucie,27.27481000000006,-80.36366999999996,5602.902777777777
Punta Gorda,26.932950000000062,-82.05288999999993,5909.892857142857
Sebastian,27.817170000000033,-80.47401999999994,2231.85
Vero Beach,27.638850000000048,-80.39395999999994,2231.85
Sebring,27.495970000000057,-81.44078999999994,4708.789473684211
Tallahassee,30.439770000000067,-84.28064999999998,2189.7687074829932
Tampa,27.946530000000052,-82.45926999999995,3399.582677165354
St. Petersburg,27.771190000000047,-82.63875999999993,3399.582677165354
Clearwater,27.965580000000045,-82.79974999999996,3399.582677165354
The Villages,28.908370000000048,-81.97431999999998,8042.266666666666
